769,   -0.7296577597966574
962,   -0.8717749146023928
1446,   -0.6179569233031073
1518,   -0.9622187676994722
1659,   -0.7348830235937299
2235,   -0.850581698158329
2252,   -0.8130313256685374
2314,   -0.8345060520573483
2613,   -0.7848966786524155
2682,   -1.1104145434073005
2790,   -0.8891135657589789
2920,   -1.0273987475460484
2970,   -0.9610114986931014
2970,   -1.0273610843040424
3068,   -0.8962791105526006
3075,   -0.9108472832798822
3445,   -0.9492906982789043
3482,   -0.867571468121917
3578,   -0.9511836138105016
3593,   -0.9678004957854558
3748,   -1.2939630219332185
3826,   -0.9089335035213691
3898,   -1.0438482183567073
4047,   -1.0138609866744805
4047,   -0.993982137595929
