50,   1.5142857142857142
100,   1.4965656565656567
150,   1.5024608501118568
200,   1.4952763819095478
250,   1.495004016064257
300,   1.5042586399108138
350,   1.500843225542366
400,   1.4969298245614036
450,   1.5000049492699827
500,   1.5003527054108217
550,   1.5000894187779434
600,   1.5011741791875348
650,   1.4998222116866184
700,   1.500408747189863
750,   1.499125945705385
800,   1.498366708385482
850,   1.5003117854915817
900,   1.4993968607094301
950,   1.5006843769064389
1000,   1.499981981981982
